,source_id,clean_tmass_psc_xsc_oid,Unnamed: 0,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
18413481-0448579,4256686321214627968,277789831,58,0.051573,58,59,,18 41 34.82,-04 48 58.00,1.4,3.1,51.3,0.4,M1.5,---,Simbad,280.3950833333333,-4.816111111111111,280.395069,-4.81611,0.06,0.06,90,8.019,5.981,5.042,0.021,0.046,0.023,AAA,111,0,2451312.8269
18414834-0448529,4256687012739165312,277794417,59,0.037174,59,60,,18 41 48.35,-04 48 52.91,1.7,3.1,52.2,0.6,M1.5,---,Simbad,280.4514583333333,-4.814697222222222,280.451448,-4.814698,0.06,0.06,90,8.285,6.187,5.133,0.03,0.053,0.027,AAA,111,0,2451312.8269
18424231-0440533,4256666328154217728,278226414,61,0.065781,61,62,,18 42 42.31,-04 40 53.36,1.0,1.0,57.7,0.4,M3,---,Simbad,280.67629166666666,-4.6814888888888895,280.67631,-4.681489,0.06,0.06,90,7.581,5.65,4.748,0.026,0.034,0.02,AAA,111,0,2451312.8367
18424479-0433573,4256720891442611712,278601687,62,0.002676,62,63,,18 42 44.80,-04 33 57.39,4.2,4.3,48.7,1.1,M0.5,M7,Simbad,280.6866666666666,-4.565941666666666,280.686666,-4.565942,0.06,0.06,90,7.141,5.428,4.632,0.026,0.04,0.021,AAA,111,0,2451312.8368
18425222-0346184,4258452278622535168,281161999,63,0.005086,63,64,,18 42 52.23,-03 46 18.48,0.2,1.1,55.6,0.7,M2.5,---,Simbad,280.71762499999994,-3.7718,280.717624,-3.771799,0.06,0.06,90,9.255,6.522,5.24,0.026,0.034,0.018,AAA,211,0,2451312.8373
18442616-0335276,4258482515217611008,281741577,65,0.064822,65,66,a,18 44 26.16,-03 35 27.61,0.1,3.8,48.9,0.7,M0.5,M7,Simbad,281.109,-3.5910027777777778,281.109018,-3.591004,0.06,0.06,90,8.576,6.19,5.069,0.021,0.051,0.021,AAA,111,0,2451365.6047
18464441-0324049,4258394897868583552,282347184,66,0.073203,66,67,,18 46 44.42,-03 24 04.96,0.7,1.3,61.5,0.6,M4,---,Simbad,281.68508333333324,-3.401377777777778,281.685063,-3.401379,0.06,0.06,90,9.364,6.42,5.033,0.023,0.023,0.018,AAA,211,0,2451400.5343
18464480-0303321,4258618167453912576,283438942,67,0.055134,67,68,,18 46 44.80,-03 03 32.19,1.2,3.1,54.0,0.4,M2,---,Simbad,281.6866666666666,-3.0589416666666667,281.686682,-3.058942,0.06,0.06,90,7.991,5.787,4.763,0.02,0.027,0.016,AAA,111,0,2451400.5346
18475357-0147150,4259232450854920960,287486437,68,0.032505,68,69,,18 47 53.58,-01 47 15.08,0.3,2.3,53.3,0.5,M2,---,Simbad,281.97325,-1.787522222222222,281.973241,-1.787523,0.06,0.06,90,8.963,6.451,5.3,0.023,0.029,0.026,AAA,111,0,2451400.5452
18482997-0211500,4259112638435320960,286182112,69,0.072037,69,70,,18 48 29.97,-02 11 50.01,1.4,1.4,51.7,0.6,M1.5,---,Simbad,282.124875,-2.197225,282.124895,-2.197226,0.06,0.06,90,8.149,5.922,4.797,0.03,0.04,0.017,AAA,111,0,2451279.8905
