,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,2MASS,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
72,0.056297,72,73,,18 55 42.14,+03 40 04.56,10.5,1.6,45.7,0.4,M0,M7,Simbad,283.9255833333333,3.667933333333333,18554214+0340045,283.925599,3.667933,0.06,0.06,90,7.901,5.895,4.931,0.024,0.029,0.017,AAA,111,0,2451400.5955
73,0.04692,73,74,,18 56 58.50,+01 34 52.05,1.1,2.2,50.4,0.5,M1,---,Simbad,284.24375,1.581125,18565849+0134520,284.243737,1.581124,0.06,0.06,90,7.741,5.837,4.951,0.021,0.042,0.023,AAA,111,0,2451400.6172
74,0.045564,74,75,,18 58 04.34,+02 15 41.31,3.5,4.8,48.5,0.5,M0.5,M7,Simbad,284.51808333333327,2.261475,18580434+0215413,284.518096,2.261475,0.06,0.06,90,7.214,5.353,4.519,0.02,0.024,0.02,AAA,111,0,2451400.6264
75,0.012193,75,76,,18 58 53.84,+05 00 36.87,7.1,2.3,36.0,1.7,K3.5,M3.5,Simbad,284.7243333333333,5.0102416666666665,18585383+0500368,284.72433,5.010241,0.06,0.06,90,7.198,5.44,4.664,0.02,0.034,0.02,AAA,111,0,2451400.6341
76,0.006506,76,77,,19 00 12.29,+03 12 25.93,1.2,1.4,49.9,0.8,M1,M7,Simbad,285.0512083333333,3.207202777777778,19001228+0312259,285.051207,3.207204,0.06,0.06,90,7.164,5.448,4.683,0.023,0.021,0.016,AAA,111,0,2451400.6576
77,0.010545,77,78,,19 00 18.13,+03 25 41.33,5.9,2.8,49.2,0.5,M0.5,M7,Simbad,285.0755416666666,3.428147222222222,19001812+0325413,285.075539,3.428146,0.06,0.06,0,7.529,5.653,4.734,0.024,0.036,0.023,AAA,111,0,2451400.6577
78,0.07159,78,79,,19 02 10.62,+06 24 27.06,5.8,2.5,44.8,0.9,K5.5,M7,Simbad,285.54425,6.407516666666667,19021061+0624270,285.54423,6.407516,0.06,0.06,90,7.004,5.357,4.626,0.019,0.024,0.016,AAA,111,0,2451393.6525
79,0.074061,79,80,,19 05 19.33,+06 00 12.65,6.5,1.6,44.0,0.3,K5.5,M7,Simbad,286.3305416666666,6.003513888888889,19051932+0600126,286.330521,6.003513,0.07,0.06,90,7.083,5.46,4.695,0.023,0.026,0.016,AAA,111,0,2451401.5465
80,0.026457,80,81,,19 05 20.11,+08 48 57.14,7.9,2.7,45.9,0.4,M0,M7,Simbad,286.3337916666666,8.815872222222223,19052011+0848571,286.333799,8.815871,0.06,0.06,0,7.18,5.444,4.638,0.023,0.033,0.026,AAA,111,0,2451393.6798
81,0.014943,81,82,,19 06 07.20,+07 23 54.59,10.1,1.7,40.9,1.4,K4.5,M6,Simbad,286.53,7.398497222222223,19060720+0723545,286.530004,7.398496,0.06,0.06,90,6.722,5.258,4.591,0.021,0.021,0.034,AAA,111,0,2451394.5603
